shop_name,address,mean_price,review_num,takeaway,longitude,latitude
CoCo都可(欧美汇店),丹棱街甲一号欧美汇购物中心四层401-17,15,506,True,116.32065170915861,39.985436120117406
CoCo都可(四元桥家乐福),四元桥购物中心1层,15,390,True,116.47833007159566,39.97811733953749
快乐柠檬happylemon(西单大悦城店),西单北大街131号西单大悦城B2楼,16,1368,True,116.37929911149689,39.91696702642507
CoCo都可(望京凯德店),广顺北大街33号院凯德MALL望京B1层K05号,15,632,True,116.47516986874379,39.9986274571848
一芳台湾水果茶(丰科万达店),丰科春万达广场B1层1021A,19,396,True,116.64784493861883,39.911168337713
CoCo都可(东直门银座mall店),东直门阳大街48号东直门银座mallB2层,15,819,True,116.4419681377728,39.94612846594149
1点点(琨莎中心店),新东春新源里16号1层3座101,18,196,True,116.45795707754489,39.95265924564415
CoCo都可(密云万象汇店),滨河春178号华润万象汇L226,15,279,True,116.84205580512898,40.361337034544206
1點點(SOHO尚都店),东大桥春8号SOHO尚都西塔1层,17,1977,True,116.45789653175353,39.92461246746639
1點點(珠市口店),祥市口东大街19号,15,272,True,116.5037227788701,40.10428187936469
CoCo都可(三里屯soho店),工人体育场北春8号院4号楼1层5106,15,298,True,116.45357604157273,39.937016087694744
悸动奶茶烧仙草(北邮店),学院南春与杏坛春交叉口西200米,16,341,True,116.4133836971231,39.910924547299565
CoCo都可(天宫院凯德店),华佗春2号天宫院凯德MALL4层33B号,15,256,True,116.32558897590256,39.67829408363588
CoCo都可(海淀黄庄店),中关村大街19号新中关大厦玉下一层KB107,15,480,True,116.3219087978893,39.98423784203148
CoCo都可(上地科实大厦店),信息春甲28号1层01F-1,14,126,True,116.4133836971231,39.910924547299565
茶百道(万科城市之光店),东厦东四春2号院1号楼102,19,47,True,116.6321959176517,39.99738650619392
靠得住(凤凰汇分店),曙对西里甲5号院24号楼三层L314、L315、L316,97,876,True,116.34861146815668,39.908998475431964
ORITEA朴茶(乐成中心店),东三九中春22号乐成中心Space3B1层米粟米烧肉旁边,23,149,True,116.46894497088185,39.900405098883546
CoCo都可(悦茂购物中心店),文龙家园四里4号楼4F-09b,14,100,True,116.36051275853619,40.05327251624357
CoCo都可(索菲亚店),经济技术开选区玉盛北街1号北京索菲娅工厂店负一层116号,15,140,True,116.50205004417997,39.791469060883635
